file	order	reorder	algo_time	bdd_time	reorder_time	minterms	span	ecr	inputs	clauses	functions	mean (variables_in_functions)	standard deviation (variables_in_functions)	median (variables_in_functions)	maxnode	total
REAL-FM-4_1.xml	malik_fanin	NONE	0.0355350000	0.011798	0	4.52041e+49	13276	11.333333333333332	261.0	321.0	2.0	56.513409961685824	61.49932541354264	56.513409961685824	6315	22623
25_112.xml	malik_fanin	NONE	0.0139170000	0.886212	0	6.48294e+11	4456	53.44827586206896	112.0	144.0	2.0	77.67857142857143	31.567267017256583	77.67857142857143	2010506	1606
SPLOT-3CNF-FM-500-50-1.00-SAT-5.xml	malik_fanin	NONE	0.1274820000	3.92701	0	9.5155e+64	15504	8.274647887323944	500.0	618.0	2.0	54.7	64.06387437550121	54.7	1483830	1692416
32_141.xml	malik_fanin	NONE	0.0112040000	15731.4	0	4.76065e+15	6307	58.74125874125874	141.0	186.0	2.0	79.7872340425532	28.585167750094474	79.7872340425532	305637787	61329
REAL-FM-11_1.xml	malik_fanin	NONE	0.0033260000	0.002978	0	6400	315	16.216216216216218	31.0	40.0	2.0	59.67741935483871	57.024740418269964	59.67741935483871	46	139
REAL-FM-4.xml	malik_fanin	NONE	0.0577310000	0.02922	0	4.52041e+49	4335	10.33434650455927	290.0	350.0	2.0	55.86206896551724	62.42046068405384	55.86206896551724	5043	73202
32_141_2.xml	malik_fanin	NONE	0.0098040000	0.366815	0	4.76065e+15	4553	46.2962962962963	106.0	136.0	2.0	73.58490566037736	37.35658466645911	73.58490566037736	473057	38109
68_108.xml	malik_fanin	NONE	0.0117370000	0.00349	0	3.97981e+14	2602	24.545454545454547	108.0	120.0	2.0	62.5	53.033008588991066	62.5	1326	909
SPLOT-3CNF-FM-500-50-1.00-SAT-3_1.xml	malik_fanin	NONE	0.0970340000	6.28036	0	1.27927e+74	36882	8.379888268156424	477.0	581.0	2.0	54.716981132075475	64.03985942821562	54.716981132075475	1141356	8360215
10_103.xml	malik_fanin	NONE	0.0064100000	0.008575	0	3.39591e+13	3415	20.18348623853211	103.0	117.0	2.0	60.679611650485434	55.60742648166053	60.679611650485434	417	293
SPLOT-3CNF-FM-500-50-1.00-SAT-10_1.xml	malik_fanin	NONE	0.1026180000	2.18621	0	3.07084e+63	37677	8.856088560885608	481.0	590.0	2.0	54.98960498960499	63.65431107147091	54.98960498960499	1791880	607088
model_20130307_609838668_1.xml	malik_fanin	NONE	0.0187050000	0.003367	0	5.25823e+31	5941	2.8735632183908044	160.0	178.0	2.0	51.5625	68.50096942744679	51.5625	211	218
49_141.xml	malik_fanin	NONE	0.0152410000	18.7964	0	2.92145e+12	12642	43.790849673202615	141.0	185.0	2.0	73.75886524822695	37.110568658017385	73.75886524822695	17136891	10171
32_141_1.xml	malik_fanin	NONE	0.0114600000	0.393797	0	4.76065e+15	4891	50.0	108.0	142.0	2.0	75.46296296296296	34.70061055822872	75.46296296296296	473201	38206
49_141_1.xml	malik_fanin	NONE	0.0137170000	0.474976	0	2.92145e+12	10330	41.42857142857143	128.0	167.0	2.0	72.65625	38.66990209613932	72.65625	1106620	10151
SPLOT-3CNF-FM-500-50-1.00-SAT-6_1.xml	malik_fanin	NONE	0.1145070000	6.41435	0	1.49115e+55	27177	8.377896613190732	492.0	611.0	2.0	54.77642276422764	63.95579626585643	54.77642276422764	3058145	1186644
SPLOT-3CNF-FM-500-50-1.00-SAT-5_1.xml	malik_fanin	NONE	0.1140530000	1.39651	0	9.5155e+64	26914	8.050089445438283	491.0	608.0	2.0	54.58248472505092	64.23006607112019	54.58248472505092	469748	1147508
SPLOT-3CNF-FM-500-50-1.00-SAT-7.xml	malik_fanin	NONE	0.1142400000	1.92778	0	1.0881e+60	18779	8.24561403508772	500.0	620.0	2.0	54.7	64.06387437550121	54.7	831871	201024
