file	order	reorder	algo_time	bdd_time	reorder_time	minterms	span	inputs	clauses	functions	mean (variables_in_functions)	standard deviation (variables_in_functions)	median (variables_in_functions)	total_posbile_symmetric	symmetric_percent	symmetric_continuos	maxnode	total
LinuxKernel_block	fujii	CUDD_REORDER_SYMM_SIFT	0.0000000000	0	0.008	1.22647e+15	1361	60.0	84.0	2.0	71.66666666666667	40.069384267237695	71.66666666666667	1770	8.19209	1.52542	47	83
LinuxKernel_block	fujii	CUDD_REORDER_WINDOW2	0.0000000000	0	0.004	1.22647e+15	1361	60.0	84.0	2.0	71.66666666666667	40.069384267237695	71.66666666666667	1770	8.19209	1.52542	58	105
LinuxKernel_block	fujii	CUDD_REORDER_WINDOW3	0.0000000000	0	0	1.22647e+15	1361	60.0	84.0	2.0	71.66666666666667	40.069384267237695	71.66666666666667	1770	8.19209	1.52542	55	102
LinuxKernel_block	fujii	CUDD_REORDER_WINDOW4	0.0000000000	0	0	1.22647e+15	1361	60.0	84.0	2.0	71.66666666666667	40.069384267237695	71.66666666666667	1770	8.19209	1.52542	52	95
LinuxKernel_block	fujii	CUDD_REORDER_ANNEALING	0.0000000000	0	0.788	1.22647e+15	1361	60.0	84.0	2.0	71.66666666666667	40.069384267237695	71.66666666666667	1770	8.19209	1.52542	62	90
Electronic Shopping	fujii	CUDD_REORDER_SIFT	0.0300000000	0.124	22.064	4.52041e+49	6656	290.0	351.0	2.0	55.86206896551724	62.42046068405384	55.86206896551724	41905	1.79454	0.241021	1239	14064
Electronic Shopping	fujii	CUDD_REORDER_SYMM_SIFT	0.0300000000	0.148	23.088	4.52041e+49	6656	290.0	351.0	2.0	55.86206896551724	62.42046068405384	55.86206896551724	41905	1.79454	0.241021	1534	9484
Electronic Shopping	fujii	CUDD_REORDER_WINDOW2	0.0300000000	0.136	7.816	4.52041e+49	6656	290.0	351.0	2.0	55.86206896551724	62.42046068405384	55.86206896551724	41905	1.79454	0.241021	12063	315191
Electronic Shopping	fujii	CUDD_REORDER_WINDOW3	0.0300000000	0.172	9.196	4.52041e+49	6656	290.0	351.0	2.0	55.86206896551724	62.42046068405384	55.86206896551724	41905	1.79454	0.241021	12063	254988
Electronic Shopping	fujii	CUDD_REORDER_WINDOW4	0.0300000000	0.164	10.5	4.52041e+49	6656	290.0	351.0	2.0	55.86206896551724	62.42046068405384	55.86206896551724	41905	1.79454	0.241021	11271	233941
Electronic Shopping	fujii	CUDD_REORDER_ANNEALING	-1.0	-1.0	6656	290.0	351.0	2.0	55.86206896551724	62.42046068405384	55.86206896551724	-1	18446744073709551615
LinuxKernel_mm	fujii	CUDD_REORDER_SIFT	0.0000000000	0	0.004	1.29049e+18	2612	70.0	91.0	2.0	69.28571428571429	43.43655941574506	69.28571428571429	2415	27.8261	1.0352	33	41
LinuxKernel_mm	fujii	CUDD_REORDER_SYMM_SIFT	0.0000000000	0	0.008	1.29049e+18	2612	70.0	91.0	2.0	69.28571428571429	43.43655941574506	69.28571428571429	2415	27.8261	1.0352	33	41
LinuxKernel_mm	fujii	CUDD_REORDER_WINDOW2	0.0000000000	0	0	1.29049e+18	2612	70.0	91.0	2.0	69.28571428571429	43.43655941574506	69.28571428571429	2415	27.8261	1.0352	88	105
LinuxKernel_mm	fujii	CUDD_REORDER_WINDOW3	0.0000000000	0	0.004	1.29049e+18	2612	70.0	91.0	2.0	69.28571428571429	43.43655941574506	69.28571428571429	2415	27.8261	1.0352	84	101
LinuxKernel_mm	fujii	CUDD_REORDER_WINDOW4	0.0000000000	0	0.004	1.29049e+18	2612	70.0	91.0	2.0	69.28571428571429	43.43655941574506	69.28571428571429	2415	27.8261	1.0352	72	89
LinuxKernel_mm	fujii	CUDD_REORDER_ANNEALING	0.0000000000	0	0.372	1.29049e+18	2612	70.0	91.0	2.0	69.28571428571429	43.43655941574506	69.28571428571429	2415	27.8261	1.0352	31	40
Dell_XML	fujii	CUDD_REORDER_SIFT	0.2700000000	8.268	1.328	1.12867e+06	104440	118.0	1778.0	2.0	99.15254237288136	1.1984860698077069	99.15254237288136	6903	0.188324	0.0144865	15027	4716
Dell_XML	fujii	CUDD_REORDER_SYMM_SIFT	0.2700000000	7.592	2.712	1.12867e+06	104440	118.0	1778.0	2.0	99.15254237288136	1.1984860698077069	99.15254237288136	6903	0.188324	0.0144865	21301	6026
Dell_XML	fujii	CUDD_REORDER_WINDOW2	0.2700000000	7.952	0.296	1.12867e+06	104440	118.0	1778.0	2.0	99.15254237288136	1.1984860698077069	99.15254237288136	6903	0.188324	0.0144865	36685	4499
Dell_XML	fujii	CUDD_REORDER_WINDOW3	0.2700000000	7.732	0.312	1.12867e+06	104440	118.0	1778.0	2.0	99.15254237288136	1.1984860698077069	99.15254237288136	6903	0.188324	0.0144865	32064	4548
Dell_XML	fujii	CUDD_REORDER_WINDOW4	0.2700000000	7.768	0.404	1.12867e+06	104440	118.0	1778.0	2.0	99.15254237288136	1.1984860698077069	99.15254237288136	6903	0.188324	0.0144865	25972	4569
Dell_XML	fujii	CUDD_REORDER_ANNEALING	0.2700000000	7.92	562.756	1.12867e+06	104440	118.0	1778.0	2.0	99.15254237288136	1.1984860698077069	99.15254237288136	6903	0.188324	0.0144865	7152	2566
LinuxKernel_lib	fujii	CUDD_REORDER_SIFT	0.0000000000	0	0.036	5.49936e+32	7241	121.0	146.0	2.0	64.0495867768595	50.84156195308234	64.0495867768595	7260	43.8567	1.03306	128	165
LinuxKernel_lib	fujii	CUDD_REORDER_SYMM_SIFT	0.0000000000	0.004	0.024	5.49936e+32	7241	121.0	146.0	2.0	64.0495867768595	50.84156195308234	64.0495867768595	7260	43.8567	1.03306	128	174
LinuxKernel_lib	fujii	CUDD_REORDER_WINDOW2	0.0000000000	0	0.012	5.49936e+32	7241	121.0	146.0	2.0	64.0495867768595	50.84156195308234	64.0495867768595	7260	43.8567	1.03306	335	496
LinuxKernel_lib	fujii	CUDD_REORDER_WINDOW3	0.0000000000	0.004	0.016	5.49936e+32	7241	121.0	146.0	2.0	64.0495867768595	50.84156195308234	64.0495867768595	7260	43.8567	1.03306	335	497
LinuxKernel_lib	fujii	CUDD_REORDER_WINDOW4	0.0000000000	0.004	0.02	5.49936e+32	7241	121.0	146.0	2.0	64.0495867768595	50.84156195308234	64.0495867768595	7260	43.8567	1.03306	191	352
LinuxKernel_lib	fujii	CUDD_REORDER_ANNEALING	0.0000000000	0	3.492	5.49936e+32	7241	121.0	146.0	2.0	64.0495867768595	50.84156195308234	64.0495867768595	7260	43.8567	1.03306	127	165
Web_Portal	fujii	CUDD_REORDER_SIFT	0.0000000000	0.004	0.004	2.1208e+06	306	43.0	55.0	2.0	62.79069767441861	52.62189999527795	62.79069767441861	903	2.54707	1.10742	148	175
Web_Portal	fujii	CUDD_REORDER_SYMM_SIFT	0.0000000000	0	0.004	2.1208e+06	306	43.0	55.0	2.0	62.79069767441861	52.62189999527795	62.79069767441861	903	2.54707	1.10742	101	113
Web_Portal	fujii	CUDD_REORDER_WINDOW2	0.0000000000	0	0	2.1208e+06	306	43.0	55.0	2.0	62.79069767441861	52.62189999527795	62.79069767441861	903	2.54707	1.10742	237	544
Web_Portal	fujii	CUDD_REORDER_WINDOW3	0.0000000000	0	0.004	2.1208e+06	306	43.0	55.0	2.0	62.79069767441861	52.62189999527795	62.79069767441861	903	2.54707	1.10742	183	443
Web_Portal	fujii	CUDD_REORDER_WINDOW4	0.0000000000	0	0.008	2.1208e+06	306	43.0	55.0	2.0	62.79069767441861	52.62189999527795	62.79069767441861	903	2.54707	1.10742	164	393
Web_Portal	fujii	CUDD_REORDER_ANNEALING	0.0000000000	0	1.076	2.1208e+06	306	43.0	55.0	2.0	62.79069767441861	52.62189999527795	62.79069767441861	903	2.54707	1.10742	65	87
Model_Transformation	fujii	CUDD_REORDER_SIFT	0.0000000000	0	0.016	1.65299e+13	1179	88.0	113.0	1.0	100.0		100.0	3828	3.21317	0.39185	197	197
Model_Transformation	fujii	CUDD_REORDER_SYMM_SIFT	0.0000000000	0	0.028	1.65299e+13	1179	88.0	113.0	1.0	100.0		100.0	3828	3.21317	0.39185	172	172
Model_Transformation	fujii	CUDD_REORDER_WINDOW2	0.0000000000	0.004	0.008	1.65299e+13	1179	88.0	113.0	1.0	100.0		100.0	3828	3.21317	0.39185	373	373
Model_Transformation	fujii	CUDD_REORDER_WINDOW3	0.0000000000	0.004	0.004	1.65299e+13	1179	88.0	113.0	1.0	100.0		100.0	3828	3.21317	0.39185	342	342
