file	order	reorder	algo_time	bdd_time	reorder_time	minterms	span	inputs	clauses	functions	mean (variables_in_clause)	standard deviation (variables_in_clause)	median (variables_in_clause)	mean (variables_in_functions)	standard deviation (variables_in_functions)	median (variables_in_functions)	mean (variable_in_clauses)	standard deviation (variable_in_clauses)	median (variable_in_clauses)	mean (variable_mean_level)	standard deviation (variable_mean_level)	median (variable_mean_level)	maxnode	total
../thesis/xml/REAL-FM-19.xml	malik_level	NONE	0.0000000000	0	0	240	179	30.0	41.0	2.0	6.991869918699186	1.2483050839661867	6.666666666666667	61.666666666666664	54.21151989096864	61.666666666666664	6.991869918699185	6.134733900779088	4.878048780487805	7.2	1.3746472901853017	7.0	41	64
../thesis/xml/REAL-FM-19.xml	fujii	NONE	0.0000000000	0	0	240	193	30.0	41.0	2.0	6.991869918699186	1.2483050839661867	6.666666666666667	61.666666666666664	54.21151989096864	61.666666666666664	6.991869918699185	6.134733900779088	4.878048780487805	7.2	1.3746472901853017	7.0	47	68
../thesis/xml/REAL-FM-19.xml	fujita	NONE	0.0000000000	0	0	240	251	30.0	41.0	2.0	6.991869918699186	1.2483050839661867	6.666666666666667	61.666666666666664	54.21151989096864	61.666666666666664	6.991869918699185	6.134733900779088	4.878048780487805	7.2	1.3746472901853017	7.0	41	67
../thesis/xml/REAL-FM-19.xml	mendonca	NONE	0.0061684320	0	0	240	191	30.0	41.0	2.0	6.991869918699186	1.2483050839661867	6.666666666666667	61.666666666666664	54.21151989096864	61.666666666666664	6.991869918699185	6.134733900779088	4.878048780487805	7.2	1.3746472901853017	7.0	38	59
../thesis/xml/REAL-FM-19.xml	MINCE	NONE	0.0000000000	0	0	240	121	30.0	41.0	2.0	6.991869918699186	1.2483050839661867	6.666666666666667	61.666666666666664	54.21151989096864	61.666666666666664	6.991869918699185	6.134733900779088	4.878048780487805	7.2	1.3746472901853017	7.0	39	44
../thesis/xml/REAL-FM-20.xml	malik_fanin	NONE	0.0100000000	0	0	80658	140	44.0	51.0	1.0	4.946524064171118	1.2617941405344288	4.545454545454546	100.0		100.0	4.946524064171119	2.756430142626773	3.9215686274509802	11.704545454545455	2.7751349890029062	12.0	98	98
../thesis/xml/REAL-FM-20.xml	FORCE	NONE		0.004	0	80658	149	44.0	51.0	1.0	4.946524064171118	1.2617941405344288	4.545454545454546	100.0		100.0	4.946524064171119	2.756430142626773	3.9215686274509802	11.704545454545455	2.7751349890029062	12.0	132	132
../thesis/xml/REAL-FM-20.xml	narodyska	NONE	0.0100000000	0	0	80658	313	44.0	51.0	1.0	4.946524064171118	1.2617941405344288	4.545454545454546	100.0		100.0	4.946524064171119	2.756430142626773	3.9215686274509802	11.704545454545455	2.7751349890029062	12.0	211	211
../thesis/xml/REAL-FM-20.xml	malik_level	NONE	0.0000000000	0	0	80658	169	44.0	51.0	1.0	4.946524064171118	1.2617941405344288	4.545454545454546	100.0		100.0	4.946524064171119	2.756430142626773	3.9215686274509802	11.704545454545455	2.7751349890029062	12.0	123	123
../thesis/xml/REAL-FM-20.xml	fujii	NONE	0.0000000000	0	0	80658	190	44.0	51.0	1.0	4.946524064171118	1.2617941405344288	4.545454545454546	100.0		100.0	4.946524064171119	2.756430142626773	3.9215686274509802	11.704545454545455	2.7751349890029062	12.0	215	215
