file	order	reeorder	ecr	code	dead	size_f0	size_f1	f0_time	f1_time	dead_core_f0	dead_core_f1	total
eCos_kernel	FORCE		35.08771929824561	1	1	58	58	0.000198	5.9e-05	0.000101	0.000106	0.000306
eCos_language	FORCE		36.144578313253014	1	1	206	61	0.000388	0.000107	0.000285	0.000109	0.000682
eCos_net	FORCE		37.38317757009346	1	1	153	172	0.000332	0.000272	0.000209	0.000252	0.000546
eCos_redboot	FORCE		11.11111111111111	1	1	64	8	0.00026	2.1e-05	0.000112	3.3e-05	0.000402
eCos_services	FORCE		41.81818181818181	1	1	97	36	0.000177	5.4e-05	0.00015	7.5e-05	0.000326
LinuxKernel_arch	FORCE		26.01626016260163	1	0	16	78	0.000936	0.0001	4.8e-05	0.000128	0.001207
LinuxKernel_block	FORCE		42.62295081967213	1	0	49	44	0.000159	6.5e-05	9.2e-05	7.9e-05	0.000177
LinuxKernel_crypto	FORCE		86.19402985074626	1	0	7	14815	0.004337	0.079634	3.9e-05	0.019924	0.105418
LinuxKernel_fs	FORCE		59.59302325581395	1	0	425	341510	0.006012	4.87134	0.000549	0.569566	5.53791
LinuxKernel_lib	FORCE		27.86885245901639	1	0	129	66	0.000728	9.8e-05	0.000169	0.000118	0.000999
LinuxKernel_mm	FORCE		37.5	1	0	9	61	0.000372	8.1e-05	3.6e-05	0.000108	0.000448
LinuxKernel_security	FORCE		59.210526315789465	1	0	97	420	0.000318	0.00052	0.000155	0.000581	0.001932
BankingSoftware	FORCE		2.604166666666667	17	0	238	6	0.001613	1.9e-05	0.000317	3.1e-05	0.002061
HIS	FORCE		10.95890410958904	37	0	103	23	0.00044	1.9e-05	0.000147	5.3e-05	0.00059
Documentation_Generation	FORCE		24.528301886792452	8	0	63	91	0.000205	3.2e-05	0.00011	0.000135	0.000332
Graph	FORCE		21.21212121212121	11	0	41	16	0.00012	2.4e-05	7e-05	4.3e-05	0.000199
Web_Portal	FORCE		22.448979591836736	4	0	109	22	0.000202	2.4e-05	0.000163	5.2e-05	0.000452
Electronic Shopping	FORCE		10.303030303030303	30	0	2193	805	0.011784	0.000178	0.002673	0.001101	0.014866
Dell_XML	FORCE		88.54961832061069	1	0	2703	43396	0.002927	6.52938	0.003533	0.053877	6.65343
eCos_compat	FORCE		21.428571428571427	1	1	29	7	6.5e-05	2e-05	6.2e-05	3.5e-05	0.000268
eCos_fs	FORCE		4.3478260869565215	1	1	26	2	5.7e-05	9e-06	5.8e-05	2.6e-05	0.000253
eCos_infra	FORCE		18.51851851851852	1	1	28	7	7e-05	1.8e-05	5.9e-05	3.1e-05	6.4e-05
eCos_io	FORCE		29.230769230769234	1	1	266	68	0.000827	0.000102	0.000362	0.000117	0.0014
eCos_isoinfra	FORCE		1.935483870967742	1	0	157	4	0.00157	1.6e-05	0.000236	2.9e-05	0.002178
eCos_kernel	FORCE		35.08771929824561	1	1	58	58	0.000214	5.8e-05	0.000106	0.000109	0.000333
eCos_language	FORCE		36.144578313253014	1	1	206	61	0.000337	8.6e-05	0.000285	0.000109	0.000654
eCos_net	FORCE		37.38317757009346	1	1	153	172	0.000331	0.000266	0.000203	0.000247	0.000525
eCos_redboot	FORCE		11.11111111111111	1	1	64	8	0.000269	2e-05	0.00011	3.6e-05	0.000409
eCos_services	FORCE		41.81818181818181	1	1	97	36	0.000177	5.5e-05	0.000152	7.4e-05	0.000206
LinuxKernel_arch	FORCE		26.01626016260163	1	0	16	78	0.000885	0.0001	4.6e-05	0.00013	0.001135
LinuxKernel_block	FORCE		42.62295081967213	1	0	49	44	0.000157	6.7e-05	9.1e-05	7.9e-05	0.00026
LinuxKernel_crypto	FORCE		86.19402985074626	1	0	7	14815	0.004831	0.078624	4e-05	0.02132	0.100624
LinuxKernel_fs	FORCE		59.59302325581395	1	0	425	341510	0.005443	4.86268	0.000538	0.567098	5.52489
LinuxKernel_lib	FORCE		27.86885245901639	1	0	129	66	0.000743	9.5e-05	0.000171	0.000118	0.001051
LinuxKernel_mm	FORCE		37.5	1	0	9	61	0.000307	6.7e-05	3.6e-05	0.00011	0.000369
LinuxKernel_security	FORCE		59.210526315789465	1	0	97	420	0.000313	0.000492	0.000154	0.000588	0.00116
BankingSoftware	FORCE		2.604166666666667	17	0	238	6	0.001633	2e-05	0.000308	3.2e-05	0.00186
HIS	FORCE		10.95890410958904	37	0	103	23	0.000438	1.8e-05	0.000144	5.2e-05	0.000632
Documentation_Generation	FORCE		24.528301886792452	8	0	63	91	0.000208	3.2e-05	0.000113	0.000136	0.000261
Graph	FORCE		21.21212121212121	11	0	41	16	0.000118	2.4e-05	7e-05	4.6e-05	0.000131
Web_Portal	FORCE		22.448979591836736	4	0	109	22	0.000205	2.4e-05	0.000165	5.4e-05	0.000322
Electronic Shopping	FORCE		10.303030303030303	30	0	2193	805	0.011763	0.00018	0.002653	0.001096	0.014854
Dell_XML	FORCE		88.54961832061069	1	0	2703	43396	0.002931	6.43888	0.003554	0.053847	6.56311
eCos_compat	FORCE		21.428571428571427	1	1	29	7	6.7e-05	1.9e-05	6.2e-05	3.4e-05	6.4e-05
eCos_fs	FORCE		4.3478260869565215	1	1	26	2	6e-05	1e-05	5.8e-05	2.6e-05	0.000122
eCos_infra	FORCE		18.51851851851852	1	1	28	7	6.9e-05	1.9e-05	6.1e-05	3.3e-05	0.000135
eCos_io	FORCE		29.230769230769234	1	1	266	68	0.000813	0.000105	0.000364	0.000117	0.001369
eCos_isoinfra	FORCE		1.935483870967742	1	0	157	4	0.001627	1.6e-05	0.000235	3e-05	0.00222
eCos_kernel	FORCE		35.08771929824561	1	1	58	58	0.000229	6.9e-05	0.0001	0.000107	0.00043
eCos_language	FORCE		36.144578313253014	1	1	206	61	0.00034	8.8e-05	0.000286	0.000107	0.000678
eCos_net	FORCE		37.38317757009346	1	1	153	172	0.000331	0.000276	0.000204	0.000247	0.000625
eCos_redboot	FORCE		11.11111111111111	1	1	64	8	0.000303	2.2e-05	0.000111	3.4e-05	0.000564
eCos_services	FORCE		41.81818181818181	1	1	97	36	0.000177	5.3e-05	0.00015	7.4e-05	0.00035
LinuxKernel_arch	FORCE		26.01626016260163	1	0	16	78	0.000932	0.000106	4.7e-05	0.000129	0.001197
