file	order	reeorder	ecr	code	dead	size_f0	size_f1	f0_time	f1_time	dead_core_f0	dead_core_f1	total
eCos_net	FORCE	CUDD_REORDER_SIFT	37.38317757009346	1	1	153	172	0.000336	0.000279	0.000205	0.000248	0.000602
eCos_redboot	FORCE	CUDD_REORDER_SIFT	11.11111111111111	1	1	64	8	0.000265	2e-05	0.00011	3.3e-05	0.000421
eCos_services	FORCE	CUDD_REORDER_SIFT	41.81818181818181	1	1	97	36	0.000173	5.5e-05	0.00015	7.2e-05	0.000282
LinuxKernel_arch	FORCE	CUDD_REORDER_SIFT	26.01626016260163	1	0	16	78	0.000894	0.000113	4.7e-05	0.000135	0.001126
LinuxKernel_block	FORCE	CUDD_REORDER_SIFT	42.62295081967213	1	0	49	44	0.000159	6.6e-05	9.1e-05	8e-05	6.5e-05
LinuxKernel_crypto	FORCE	CUDD_REORDER_SIFT	86.19402985074626	1	0	7	3484	0.004336	0.485667	3.6e-05	0.004506	0.492888
LinuxKernel_fs	FORCE	CUDD_REORDER_SIFT	59.59302325581395	1	0	400	2673	0.810238	0.166088	0.000602	0.003505	0.810056
LinuxKernel_lib	FORCE	CUDD_REORDER_SIFT	27.86885245901639	1	0	129	66	0.054415	9.2e-05	0.000232	0.000116	0.053634
LinuxKernel_mm	FORCE	CUDD_REORDER_SIFT	37.5	1	0	9	61	0.00031	6.6e-05	3.8e-05	0.000108	0.000366
LinuxKernel_security	FORCE	CUDD_REORDER_SIFT	59.210526315789465	1	0	97	420	0.00033	0.000527	0.000165	0.000571	0.001057
BankingSoftware	FORCE	CUDD_REORDER_SIFT	2.604166666666667	17	0	238	6	0.001679	1.8e-05	0.000308	3e-05	0.002004
HIS	FORCE	CUDD_REORDER_SIFT	10.95890410958904	37	0	103	23	0.00045	1.9e-05	0.000157	5.3e-05	0.000676
Documentation_Generation	FORCE	CUDD_REORDER_SIFT	24.528301886792452	8	0	63	91	0.000204	3.5e-05	0.000109	0.000136	0.000383
Graph	FORCE	CUDD_REORDER_SIFT	21.21212121212121	11	0	41	16	0.000123	2.5e-05	7e-05	4.6e-05	0.000143
Web_Portal	FORCE	CUDD_REORDER_SIFT	22.448979591836736	4	0	109	22	0.000206	2.3e-05	0.000165	5.2e-05	0.000384
Electronic Shopping	FORCE	CUDD_REORDER_SIFT	10.303030303030303	30	0	997	805	0.135718	0.000181	0.001231	0.001103	0.135796
Dell_XML	FORCE	CUDD_REORDER_SIFT	88.54961832061069	1	0	3154	15202	0.012118	2.82136	0.004101	0.020034	2.84847
eCos_compat	FORCE	CUDD_REORDER_SIFT	21.428571428571427	1	1	29	7	6.4e-05	1.8e-05	6.3e-05	3.2e-05	7.8e-05
eCos_fs	FORCE	CUDD_REORDER_SIFT	4.3478260869565215	1	1	26	2	6.2e-05	9e-06	5.7e-05	2.5e-05	7.6e-05
eCos_infra	FORCE	CUDD_REORDER_SIFT	18.51851851851852	1	1	28	7	6.9e-05	1.8e-05	6.2e-05	3.2e-05	0.000146
eCos_io	FORCE	CUDD_REORDER_SIFT	29.230769230769234	1	1	266	68	0.000823	0.000102	0.000362	0.000116	0.001251
eCos_isoinfra	FORCE	CUDD_REORDER_SIFT	1.935483870967742	1	0	156	4	0.029264	1.5e-05	0.000289	2.8e-05	0.029994
eCos_kernel	FORCE	CUDD_REORDER_SIFT	35.08771929824561	1	1	58	58	0.000212	6.9e-05	0.000106	0.000113	6.3e-05
eCos_language	FORCE	CUDD_REORDER_SIFT	36.144578313253014	1	1	206	61	0.00034	8.3e-05	0.000286	0.000109	0.000614
eCos_net	FORCE	CUDD_REORDER_SIFT	37.38317757009346	1	1	153	172	0.000335	0.000268	0.000203	0.000245	0.000581
eCos_redboot	FORCE	CUDD_REORDER_SIFT	11.11111111111111	1	1	64	8	0.000261	2e-05	0.000111	3.5e-05	0.000273
eCos_services	FORCE	CUDD_REORDER_SIFT	41.81818181818181	1	1	97	36	0.000178	5.4e-05	0.000151	7.4e-05	0.000504
LinuxKernel_arch	FORCE	CUDD_REORDER_SIFT	26.01626016260163	1	0	16	78	0.000886	0.0001	4.6e-05	0.00013	0.001209
LinuxKernel_block	FORCE	CUDD_REORDER_SIFT	42.62295081967213	1	0	49	44	0.000158	6.8e-05	9.1e-05	7.9e-05	0.000333
LinuxKernel_crypto	FORCE	CUDD_REORDER_SIFT	86.19402985074626	1	0	7	3484	0.004272	0.484112	3.8e-05	0.00451	0.492029
LinuxKernel_fs	FORCE	CUDD_REORDER_SIFT	59.59302325581395	1	0	400	2673	0.840151	0.165377	0.000557	0.003373	0.849489
LinuxKernel_lib	FORCE	CUDD_REORDER_SIFT	27.86885245901639	1	0	129	66	0.054787	9.1e-05	0.000235	0.000114	0.053644
LinuxKernel_mm	FORCE	CUDD_REORDER_SIFT	37.5	1	0	9	61	0.000307	6.6e-05	3.6e-05	0.000107	0.000389
LinuxKernel_security	FORCE	CUDD_REORDER_SIFT	59.210526315789465	1	0	97	420	0.00032	0.000489	0.000152	0.000587	0.00122
BankingSoftware	FORCE	CUDD_REORDER_SIFT	2.604166666666667	17	0	238	6	0.001664	1.8e-05	0.00031	3.2e-05	0.002087
HIS	FORCE	CUDD_REORDER_SIFT	10.95890410958904	37	0	103	23	0.000439	1.9e-05	0.000146	5.2e-05	0.000619
Documentation_Generation	FORCE	CUDD_REORDER_SIFT	24.528301886792452	8	0	63	91	0.000204	3.2e-05	0.000109	0.000136	0.000339
Graph	FORCE	CUDD_REORDER_SIFT	21.21212121212121	11	0	41	16	0.000117	2.4e-05	7e-05	4.5e-05	0.000111
Web_Portal	FORCE	CUDD_REORDER_SIFT	22.448979591836736	4	0	109	22	0.000204	2.3e-05	0.000164	5.4e-05	0.000389
Electronic Shopping	FORCE	CUDD_REORDER_SIFT	10.303030303030303	30	0	997	805	0.135139	0.00018	0.00126	0.001102	0.136109
Dell_XML	FORCE	CUDD_REORDER_SIFT	88.54961832061069	1	0	3154	15202	0.012087	2.81124	0.004057	0.019685	2.83023
eCos_compat	FORCE	CUDD_REORDER_SIFT	21.428571428571427	1	1	29	7	6.6e-05	1.9e-05	6.4e-05	3.3e-05	8.4e-05
eCos_fs	FORCE	CUDD_REORDER_SIFT	4.3478260869565215	1	1	26	2	6e-05	9e-06	5.7e-05	2.6e-05	0.000122
eCos_infra	FORCE	CUDD_REORDER_SIFT	18.51851851851852	1	1	28	7	6.9e-05	1.7e-05	6.3e-05	3.4e-05	6.5e-05
eCos_io	FORCE	CUDD_REORDER_SIFT	29.230769230769234	1	1	266	68	0.000819	0.000102	0.00036	0.000116	0.001115
eCos_isoinfra	FORCE	CUDD_REORDER_SIFT	1.935483870967742	1	0	156	4	0.028995	1.5e-05	0.000289	2.7e-05	0.028977
eCos_kernel	FORCE	CUDD_REORDER_SIFT	35.08771929824561	1	1	58	58	0.000201	5.8e-05	0.000102	0.00011	0.000176
eCos_language	FORCE	CUDD_REORDER_SIFT	36.144578313253014	1	1	206	61	0.000334	8.3e-05	0.000285	0.000108	0.000629
eCos_net	FORCE	CUDD_REORDER_SIFT	37.38317757009346	1	1	153	172	0.000331	0.000269	0.000204	0.000245	0.000569
eCos_redboot	FORCE	CUDD_REORDER_SIFT	11.11111111111111	1	1	64	8	0.000264	2e-05	0.000117	3.4e-05	0.000329
eCos_services	FORCE	CUDD_REORDER_SIFT	41.81818181818181	1	1	97	36	0.000175	5.3e-05	0.000151	7.4e-05	0.000343
LinuxKernel_arch	FORCE	CUDD_REORDER_SIFT	26.01626016260163	1	0	16	78	0.000938	9.8e-05	4.6e-05	0.000129	0.001335
LinuxKernel_block	FORCE	CUDD_REORDER_SIFT	42.62295081967213	1	0	49	44	0.000189	7e-05	9.3e-05	8e-05	0.000363
LinuxKernel_crypto	FORCE	CUDD_REORDER_SIFT	86.19402985074626	1	0	7	3484	0.004273	0.480871	3.7e-05	0.004529	0.488174
LinuxKernel_fs	FORCE	CUDD_REORDER_SIFT	59.59302325581395	1	0	400	2673	0.804001	0.167367	0.000556	0.003381	0.809876
LinuxKernel_lib	FORCE	CUDD_REORDER_SIFT	27.86885245901639	1	0	129	66	0.053914	9.1e-05	0.000229	0.000116	0.054861
LinuxKernel_mm	FORCE	CUDD_REORDER_SIFT	37.5	1	0	9	61	0.000309	6.7e-05	3.6e-05	0.000109	0.000443
LinuxKernel_security	FORCE	CUDD_REORDER_SIFT	59.210526315789465	1	0	97	420	0.000317	0.000491	0.000152	0.000573	0.001154
BankingSoftware	FORCE	CUDD_REORDER_SIFT	2.604166666666667	17	0	238	6	0.001603	1.8e-05	0.000307	3e-05	0.002
HIS	FORCE	CUDD_REORDER_SIFT	10.95890410958904	37	0	103	23	0.000444	1.9e-05	0.000157	5.1e-05	0.000618
Documentation_Generation	FORCE	CUDD_REORDER_SIFT	24.528301886792452	8	0	63	91	0.000204	3.2e-05	0.000109	0.000134	0.00044
