file	order	reorder	ecr	core	dead	size_f0	size_f1	f0_time	f1_time	dead_core	total
eCos_services	FORCE		41.81818181818181	1	1	97	36	0.000172	5.5e-05	0.00448	0.0051
LinuxKernel_arch	FORCE		26.01626016260163	1	0	16	78	0.000874	9.8e-05	0.003199	0.004371
LinuxKernel_block	FORCE		42.62295081967213	1	0	49	44	0.000158	6.8e-05	0.00288	0.003137
LinuxKernel_crypto	FORCE		86.19402985074626	1	0	7	14815	0.004302	0.079333	0.516682	0.592159
LinuxKernel_fs	FORCE		59.59302325581395	1	0	425	341510	0.005278	4.90426	17.3574	22.3428
LinuxKernel_lib	FORCE		27.86885245901639	1	0	129	66	0.00073	9.1e-05	0.006293	0.007208
LinuxKernel_mm	FORCE		37.5	1	0	9	61	0.000306	6.7e-05	0.002491	0.002869
LinuxKernel_security	FORCE		59.210526315789465	1	0	97	420	0.000331	0.000498	0.025247	0.026241
BankingSoftware	FORCE		2.604166666666667	17	0	238	6	0.00161	1.8e-05	0.007347	0.009029
HIS	FORCE		10.95890410958904	37	0	103	23	0.000438	1.8e-05	0.004704	0.00512
Documentation_Generation	FORCE		24.528301886792452	8	0	63	91	0.000208	3.4e-05	0.017405	0.017743
Graph	FORCE		21.21212121212121	11	0	41	16	0.00012	2.7e-05	0.001745	0.001872
Web_Portal	FORCE		22.448979591836736	4	0	109	22	0.000204	2.3e-05	0.007062	0.007374
Electronic Shopping	FORCE		10.303030303030303	30	0	2193	805	0.011815	0.000179	1.17319	1.18525
Dell_XML	FORCE		88.54961832061069	1	0	2703	43396	0.002828	6.56045	0.612177	7.24256
eCos_compat	FORCE		21.428571428571427	1	1	29	7	6.4e-05	1.8e-05	0.00107	0.001233
eCos_fs	FORCE		4.3478260869565215	1	1	26	2	5.9e-05	9e-06	0.000913	0.000997
eCos_infra	FORCE		18.51851851851852	1	1	28	7	7.1e-05	1.9e-05	0.001144	0.001228
eCos_io	FORCE		29.230769230769234	1	1	266	68	0.000806	9.8e-05	0.01546	0.016438
eCos_isoinfra	FORCE		1.935483870967742	1	0	157	4	0.001587	1.5e-05	0.005	0.006917
eCos_kernel	FORCE		35.08771929824561	1	1	58	58	0.000195	5.8e-05	0.003867	0.004178
eCos_language	FORCE		36.144578313253014	1	1	206	61	0.000331	8.3e-05	0.010582	0.011075
eCos_net	FORCE		37.38317757009346	1	1	153	172	0.000336	0.000269	0.011471	0.011765
eCos_redboot	FORCE		11.11111111111111	1	1	64	8	0.000257	1.9e-05	0.00231	0.002704
eCos_services	FORCE		41.81818181818181	1	1	97	36	0.000176	5.5e-05	0.00448	0.004754
LinuxKernel_arch	FORCE		26.01626016260163	1	0	16	78	0.000874	0.000101	0.003223	0.004405
LinuxKernel_block	FORCE		42.62295081967213	1	0	49	44	0.000187	8.1e-05	0.002851	0.003122
LinuxKernel_crypto	FORCE		86.19402985074626	1	0	7	14815	0.00435	0.08065	0.522349	0.606976
LinuxKernel_fs	FORCE		59.59302325581395	1	0	425	341510	0.005446	4.93166	17.3064	22.3233
LinuxKernel_lib	FORCE		27.86885245901639	1	0	129	66	0.00073	9.1e-05	0.006364	0.007263
LinuxKernel_mm	FORCE		37.5	1	0	9	61	0.000306	6.6e-05	0.002538	0.002943
LinuxKernel_security	FORCE		59.210526315789465	1	0	97	420	0.000318	0.000487	0.023454	0.02422
BankingSoftware	FORCE		2.604166666666667	17	0	238	6	0.001634	1.9e-05	0.007163	0.009029
HIS	FORCE		10.95890410958904	37	0	103	23	0.000436	1.9e-05	0.004737	0.00525
Documentation_Generation	FORCE		24.528301886792452	8	0	63	91	0.000203	3.3e-05	0.017394	0.017756
Graph	FORCE		21.21212121212121	11	0	41	16	0.000119	2.6e-05	0.001726	0.00181
Web_Portal	FORCE		22.448979591836736	4	0	109	22	0.000204	2.3e-05	0.006747	0.007105
Electronic Shopping	FORCE		10.303030303030303	30	0	2193	805	0.011618	0.00019	1.19618	1.20826
Dell_XML	FORCE		88.54961832061069	1	0	2703	43396	0.002951	6.61406	0.616961	7.3026
eCos_compat	FORCE		21.428571428571427	1	1	29	7	6.3e-05	1.9e-05	0.001031	0.00119
eCos_fs	FORCE		4.3478260869565215	1	1	26	2	5.9e-05	1e-05	0.000891	0.002166
eCos_infra	FORCE		18.51851851851852	1	1	28	7	7e-05	1.9e-05	0.001159	0.001314
eCos_io	FORCE		29.230769230769234	1	1	266	68	0.000802	0.000101	0.014921	0.015726
eCos_isoinfra	FORCE		1.935483870967742	1	0	157	4	0.001568	1.4e-05	0.005049	0.006943
eCos_kernel	FORCE		35.08771929824561	1	1	58	58	0.000197	5.8e-05	0.003923	0.004129
eCos_language	FORCE		36.144578313253014	1	1	206	61	0.000334	8.3e-05	0.01077	0.01122
eCos_net	FORCE		37.38317757009346	1	1	153	172	0.000331	0.000269	0.010902	0.01135
eCos_redboot	FORCE		11.11111111111111	1	1	64	8	0.000264	2e-05	0.002299	0.002455
eCos_services	FORCE		41.81818181818181	1	1	97	36	0.000178	5.4e-05	0.004614	0.004881
LinuxKernel_arch	FORCE		26.01626016260163	1	0	16	78	0.000886	9.7e-05	0.003277	0.004321
LinuxKernel_block	FORCE		42.62295081967213	1	0	49	44	0.000161	6.9e-05	0.002909	0.003076
LinuxKernel_crypto	FORCE		86.19402985074626	1	0	7	14815	0.004325	0.078337	0.512805	0.597965
LinuxKernel_fs	FORCE		59.59302325581395	1	0	425	341510	0.005382	4.90025	17.2748	22.2593
LinuxKernel_lib	FORCE		27.86885245901639	1	0	129	66	0.000726	9.5e-05	0.006349	0.007108
LinuxKernel_mm	FORCE		37.5	1	0	9	61	0.000308	6.7e-05	0.002689	0.003048
LinuxKernel_security	FORCE		59.210526315789465	1	0	97	420	0.000314	0.000499	0.023814	0.024692
BankingSoftware	FORCE		2.604166666666667	17	0	238	6	0.001669	1.8e-05	0.00725	0.008869
HIS	FORCE		10.95890410958904	37	0	103	23	0.000433	1.8e-05	0.00478	0.00533
Documentation_Generation	FORCE		24.528301886792452	8	0	63	91	0.000206	3.3e-05	0.016962	0.01729
Graph	FORCE		21.21212121212121	11	0	41	16	0.00012	2.6e-05	0.001805	0.001899
Web_Portal	FORCE		22.448979591836736	4	0	109	22	0.000199	2.4e-05	0.006772	0.007019
Electronic Shopping	FORCE		10.303030303030303	30	0	2193	805	0.011568	0.000191	1.21421	1.22588
Dell_XML	FORCE		88.54961832061069	1	0	2703	43396	0.002921	6.57746	0.611405	7.26783
eCos_compat	FORCE		21.428571428571427	1	1	29	7	6.4e-05	1.9e-05	0.001024	0.00121
eCos_fs	FORCE		4.3478260869565215	1	1	26	2	5.9e-05	1e-05	0.000915	0.000999
eCos_infra	FORCE		18.51851851851852	1	1	28	7	7e-05	1.9e-05	0.001197	0.001343
eCos_io	FORCE		29.230769230769234	1	1	266	68	0.000796	9.7e-05	0.015129	0.016014
eCos_isoinfra	FORCE		1.935483870967742	1	0	157	4	0.001585	1.5e-05	0.004914	0.006969
eCos_kernel	FORCE		35.08771929824561	1	1	58	58	0.000194	5.7e-05	0.003876	0.004177
eCos_language	FORCE		36.144578313253014	1	1	206	61	0.000337	8.8e-05	0.010476	0.01086
eCos_net	FORCE		37.38317757009346	1	1	153	172	0.000333	0.000278	0.01121	0.011667
eCos_redboot	FORCE		11.11111111111111	1	1	64	8	0.000258	2e-05	0.00227	0.002753
eCos_services	FORCE		41.81818181818181	1	1	97	36	0.000177	5.4e-05	0.004482	0.004874
LinuxKernel_arch	FORCE		26.01626016260163	1	0	16	78	0.000881	9.9e-05	0.003318	0.0045
LinuxKernel_block	FORCE		42.62295081967213	1	0	49	44	0.000158	6.7e-05	0.002991	0.003076
LinuxKernel_crypto	FORCE		86.19402985074626	1	0	7	14815	0.00425	0.082977	0.52247	0.611527
LinuxKernel_fs	FORCE		59.59302325581395	1	0	425	341510	0.005529	4.90112	17.3242	22.3142
LinuxKernel_lib	FORCE		27.86885245901639	1	0	129	66	0.000729	9.1e-05	0.006088	0.006976
LinuxKernel_mm	FORCE		37.5	1	0	9	61	0.000307	6.8e-05	0.002582	0.003019
LinuxKernel_security	FORCE		59.210526315789465	1	0	97	420	0.000313	0.00049	0.023651	0.024346
BankingSoftware	FORCE		2.604166666666667	17	0	238	6	0.001618	1.8e-05	0.007262	0.00904
HIS	FORCE		10.95890410958904	37	0	103	23	0.000438	1.8e-05	0.004712	0.006339
Documentation_Generation	FORCE		24.528301886792452	8	0	63	91	0.000202	3.4e-05	0.018874	0.019189
Graph	FORCE		21.21212121212121	11	0	41	16	0.00012	2.7e-05	0.001747	0.001964
Web_Portal	FORCE		22.448979591836736	4	0	109	22	0.000206	2.3e-05	0.006789	0.007106
Electronic Shopping	FORCE		10.303030303030303	30	0	2193	805	0.011578	0.00018	1.18841	1.20024
Dell_XML	FORCE		88.54961832061069	1	0	2703	43396	0.002881	6.59485	0.608868	7.27237
eCos_compat	FORCE		21.428571428571427	1	1	29	7	6.3e-05	1.8e-05	0.001105	0.001199
eCos_fs	FORCE		4.3478260869565215	1	1	26	2	6.5e-05	1e-05	0.000952	0.001132
eCos_infra	FORCE		18.51851851851852	1	1	28	7	8.4e-05	2e-05	0.001251	0.001345
eCos_io	FORCE		29.230769230769234	1	1	266	68	0.000808	9.7e-05	0.015231	0.016198
eCos_isoinfra	FORCE		1.935483870967742	1	0	157	4	0.001674	1.4e-05	0.005144	0.007187
eCos_kernel	FORCE		35.08771929824561	1	1	58	58	0.000209	6.3e-05	0.004092	0.004473
eCos_language	FORCE		36.144578313253014	1	1	206	61	0.000332	9.2e-05	0.010263	0.010789
eCos_net	FORCE		37.38317757009346	1	1	153	172	0.000334	0.00027	0.011031	0.011597
eCos_redboot	FORCE		11.11111111111111	1	1	64	8	0.000268	2e-05	0.002308	0.002708
eCos_services	FORCE		41.81818181818181	1	1	97	36	0.000178	5.3e-05	0.004825	0.004968
LinuxKernel_arch	FORCE		26.01626016260163	1	0	16	78	0.000894	9.7e-05	0.003227	0.004457
LinuxKernel_block	FORCE		42.62295081967213	1	0	49	44	0.000168	7e-05	0.002966	0.003301
LinuxKernel_crypto	FORCE		86.19402985074626	1	0	7	14815	0.004355	0.081098	0.513607	0.598575
LinuxKernel_fs	FORCE		59.59302325581395	1	0	425	341510	0.005644	4.90585	17.2836	22.2781
LinuxKernel_lib	FORCE		27.86885245901639	1	0	129	66	0.000734	9.1e-05	0.006073	0.006957
LinuxKernel_mm	FORCE		37.5	1	0	9	61	0.000331	6.7e-05	0.002575	0.00297
LinuxKernel_security	FORCE		59.210526315789465	1	0	97	420	0.000317	0.00052	0.023398	0.023997
BankingSoftware	FORCE		2.604166666666667	17	0	238	6	0.001708	1.8e-05	0.007157	0.00907
HIS	FORCE		10.95890410958904	37	0	103	23	0.000435	1.9e-05	0.004972	0.005582
Documentation_Generation	FORCE		24.528301886792452	8	0	63	91	0.000208	3.3e-05	0.017189	0.017428
