file	order	reorder	algo_time	bdd_time	reorder_time	and_time	reach_one	reach_one_total	reach_one_decomposed	sum_nodes	minterms	span	ecr	inputs	clauses	functions	mean (variables_in_functions)	standard deviation (variables_in_functions)	median (variables_in_functions)	maxnode	total
LinuxKernel_mm	FORCE	CUDD_REORDER_SIFT		0.004051	0.002556	0.000171	0.000171	0.000342	0.000328	47	1.29049e+18	1362	37.5	70.0	91.0	2.0	69.28571428571429	43.43655941574506	69.28571428571429	37	55
LinuxKernel_security	FORCE	CUDD_REORDER_SIFT		0.005571	0.008088	0.000611	0.000611	0.001222	0.001553	248	2.11552e+15	1744	59.210526315789465	73.0	117.0	2.0	80.82191780821918	27.12190393592237	80.82191780821918	154	273
Smart Home v2	FORCE	CUDD_REORDER_SIFT		0.001198	0.004198	0.000121	0.000121	0.000242	0.000367	37	903168	135	0.0	38.0	43.0	1.0	100.0		100.0	37	37
BankingSoftware	FORCE	CUDD_REORDER_SIFT		0.006572	0.024157	0.00051	0.00051	0.00102	0.001054	221	5.25823e+31	1747	2.604166666666667	176.0	196.0	2.0	51.42045454545455	68.70185203573843	51.42045454545455	215	216
Assess4me	FORCE	CUDD_REORDER_SIFT		0.00133	0.004427	0.000151	0.000151	0.000302	0.000435	50	6144	118	0.0	40.0	45.0	1.0	100.0		100.0	50	50
SmartTV	FORCE	CUDD_REORDER_SIFT		0.004501	0.009531	0.000376	0.000375	0.000751	0.009766	144	4.67664e+16	587	0.0	96.0	110.0	1.0	100.0		100.0	144	144
Model_Transformation	FORCE	CUDD_REORDER_SIFT		0.00435	0.0099	0.000335	0.000335	0.00067	0.009181	137	1.65299e+13	404	0.0	88.0	113.0	1.0	100.0		100.0	137	137
HIS	FORCE	CUDD_REORDER_SIFT		0.003429	0.007152	0.000283	0.000283	0.000566	0.000621	96	6400	305	10.95890410958904	67.0	77.0	2.0	55.97014925373134	62.267612074636276	55.97014925373134	85	117
Documentation_Generation	FORCE	CUDD_REORDER_SIFT		0.002459	0.005756	0.000452	0.000451	0.000903	0.000982	121	5.56816e+07	350	24.528301886792452	44.0	61.0	2.0	64.77272727272728	49.81888685632494	64.77272727272728	93	177
Graph	FORCE	CUDD_REORDER_SIFT		0.001538	0.004119	0.000143	0.000143	0.000286	0.000338	55	240	132	21.21212121212121	30.0	41.0	2.0	61.666666666666664	54.21151989096864	61.666666666666664	44	48
Thread	FORCE	CUDD_REORDER_SIFT		0.002828	0.006279	0.000349	0.000349	0.000698	0.000834	160	80658	149	0.0	44.0	51.0	1.0	100.0		100.0	160	160
Web_Portal	FORCE	CUDD_REORDER_SIFT		0.002223	0.004917	0.000369	0.000369	0.000738	0.000839	98	2.1208e+06	215	22.448979591836736	43.0	55.0	2.0	62.79069767441861	52.62189999527795	62.79069767441861	74	149
Electronic Shopping	FORCE	CUDD_REORDER_SIFT		0.022885	0.346917	0.011204	0.011203	0.022407	0.043778	1584	4.52041e+49	3781	10.303030303030303	290.0	351.0	2.0	55.86206896551724	62.42046068405384	55.86206896551724	1274	4903
Dell_XML	FORCE	CUDD_REORDER_SIFT		6.46877	0.527886	0.00596	0.005959	0.011919	0.056892	10780	1.12867e+06	58987	88.54961832061069	118.0	1778.0	2.0	99.15254237288136	1.1984860698077069	99.15254237288136	9775	3186
eCos_compat	FORCE	CUDD_REORDER_SIFT		0.000838	0.003762	0.000117	0.000117	0.000234	0.000222	34	7.88954e+06	103	21.428571428571427	28.0	32.0	2.0	60.714285714285715	55.55838995037159	60.714285714285715	27	30
eCos_fs	FORCE	CUDD_REORDER_SIFT		0.000661	0.003825	9.5e-05	9.5e-05	0.00019	0.000152	27	49725	61	4.3478260869565215	22.0	24.0	2.0	52.27272727272727	67.49655638598863	52.27272727272727	25	26
eCos_infra	FORCE	CUDD_REORDER_SIFT		0.001076	0.003636	0.000119	0.000118	0.000237	0.000234	33	9.43718e+06	177	18.51851851851852	27.0	31.0	2.0	59.25925925925926	57.61610809668165	59.25925925925926	27	29
eCos_io	FORCE	CUDD_REORDER_SIFT		0.005515	0.016712	0.000537	0.000536	0.001073	0.001622	250	1.85602e+32	991	29.230769230769234	130.0	156.0	2.0	64.61538461538461	50.04140297627875	64.61538461538461	196	249
eCos_isoinfra	FORCE	CUDD_REORDER_SIFT		0.006207	0.01473	0.000357	0.000356	0.000713	0.000552	161	7.13624e+45	6009	1.935483870967742	155.0	157.0	2.0	50.96774193548387	69.34208434861627	50.96774193548387	157	159
eCos_kernel	FORCE	CUDD_REORDER_SIFT		0.003132	0.00491	0.00025	0.000249	0.000499	0.000592	81	9.40598e+14	857	35.08771929824561	57.0	72.0	2.0	67.54385964912281	45.8999138664952	67.54385964912281	57	79
eCos_language	FORCE	CUDD_REORDER_SIFT		0.003848	0.009579	0.000519	0.000518	0.001037	0.001609	224	3.41562e+19	629	36.144578313253014	82.0	107.0	2.0	68.29268292682927	44.84091783134204	68.29268292682927	175	239
eCos_net	FORCE	CUDD_REORDER_SIFT		0.005111	0.008636	0.000357	0.000356	0.000713	0.001146	205	1.01061e+19	1042	37.38317757009346	82.0	148.0	2.0	72.5609756097561	33.63068837350653	72.5609756097561	103	152
eCos_redboot	FORCE	CUDD_REORDER_SIFT		0.003074	0.004609	0.000233	0.000233	0.000466	0.00054	71	4.86389e+17	969	11.11111111111111	63.0	67.0	2.0	55.55555555555556	62.853936105470886	55.55555555555556	63	68
eCos_services	FORCE	CUDD_REORDER_SIFT		0.002498	0.005213	0.000285	0.000284	0.000569	0.000768	121	5.54232e+11	353	41.81818181818181	53.0	77.0	2.0	71.69811320754717	40.02491214263477	71.69811320754717	92	117
